datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Multiple Fuels,1364.9,0.01,False
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Nuclear,31458.4,0.32,False
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Oil,206.3,0.00,False
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Other,42.4,0.00,False
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Other Renewables,686.0,0.01,True
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Solar,7.8,0.00,True
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Storage,0.0,0.00,False
9/30/2021 11:00:00 PM,9/30/2021 7:00:00 PM,Wind,981.2,0.01,True
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Coal,16404.1,0.17,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Gas,41846.8,0.43,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Hydro,3962.4,0.04,True
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Multiple Fuels,1349.7,0.01,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Nuclear,31438.7,0.32,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Oil,281.6,0.00,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Other,48.8,0.00,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Other Renewables,688.4,0.01,True
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Solar,124.6,0.00,True
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Storage,0.0,0.00,False
9/30/2021 10:00:00 PM,9/30/2021 6:00:00 PM,Wind,682.4,0.01,True
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Coal,16279.5,0.16,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Gas,43255.8,0.43,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Hydro,4213.6,0.04,True
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Multiple Fuels,1346.9,0.01,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Nuclear,31454.9,0.32,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Oil,253.4,0.00,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Other,96.4,0.00,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Other Renewables,683.5,0.01,True
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Solar,1314.5,0.01,True
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Storage,0.0,0.00,False
9/30/2021 9:00:00 PM,9/30/2021 5:00:00 PM,Wind,739.4,0.01,True
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Coal,16006.5,0.16,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Gas,41946.4,0.43,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Hydro,3631.3,0.04,True
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Multiple Fuels,1342.8,0.01,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Nuclear,31433.5,0.32,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Oil,273.0,0.00,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Other,126.6,0.00,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Other Renewables,683.4,0.01,True
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Solar,1977.3,0.02,True
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Storage,0.0,0.00,False
9/30/2021 8:00:00 PM,9/30/2021 4:00:00 PM,Wind,842.4,0.01,True
9/30/2021 7:00:00 PM,9/30/2021 3:00:00 PM,Coal,15823.6,0.16,False
9/30/2021 7:00:00 PM,9/30/2021 3:00:00 PM,Gas,42208.7,0.43,False
9/30/2021 7:00:00 PM,9/30/2021 3:00:00 PM,Hydro,3238.7,0.03,True
