datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Multiple Fuels,320.2,0.00,False
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Nuclear,31808.0,0.29,False
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Oil,219.2,0.00,False
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Other,87.0,0.00,False
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Other Renewables,678.2,0.01,True
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Solar,979.4,0.01,True
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Storage,0.0,0.00,False
7/31/2021 10:00:00 PM,7/31/2021 6:00:00 PM,Wind,684.9,0.01,True
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Coal,24891.3,0.22,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Gas,45860.1,0.41,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Hydro,5254.5,0.05,True
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Multiple Fuels,317.3,0.00,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Nuclear,31822.3,0.29,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Oil,219.0,0.00,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Other,121.6,0.00,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Other Renewables,683.5,0.01,True
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Solar,1649.4,0.01,True
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Storage,0.0,0.00,False
7/31/2021 9:00:00 PM,7/31/2021 5:00:00 PM,Wind,709.3,0.01,True
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Coal,24695.1,0.23,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Gas,43670.1,0.40,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Hydro,5237.2,0.05,True
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Multiple Fuels,316.2,0.00,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Nuclear,31841.8,0.29,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Oil,219.1,0.00,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Other,84.3,0.00,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Other Renewables,687.4,0.01,True
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Solar,1831.5,0.02,True
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Storage,0.0,0.00,False
7/31/2021 8:00:00 PM,7/31/2021 4:00:00 PM,Wind,805.4,0.01,True
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Coal,24451.4,0.23,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Gas,42103.5,0.39,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Hydro,4585.5,0.04,True
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Multiple Fuels,317.2,0.00,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Nuclear,31854.7,0.30,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Oil,219.5,0.00,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Other,123.6,0.00,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Other Renewables,679.9,0.01,True
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Solar,2154.4,0.02,True
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Storage,0.0,0.00,False
7/31/2021 7:00:00 PM,7/31/2021 3:00:00 PM,Wind,776.0,0.01,True
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Coal,24490.7,0.24,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Gas,40275.2,0.39,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Hydro,3077.4,0.03,True
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Multiple Fuels,318.3,0.00,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Nuclear,31866.2,0.31,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Oil,223.4,0.00,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Other,106.9,0.00,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Other Renewables,674.6,0.01,True
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Solar,2364.3,0.02,True
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Storage,0.0,0.00,False
7/31/2021 6:00:00 PM,7/31/2021 2:00:00 PM,Wind,754.2,0.01,True
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Coal,24190.8,0.24,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Gas,38734.8,0.38,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Hydro,1293.6,0.01,True
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Multiple Fuels,320.2,0.00,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Nuclear,31889.6,0.32,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Oil,221.8,0.00,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Other,128.8,0.00,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Other Renewables,684.9,0.01,True
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Solar,2391.1,0.02,True
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Storage,0.0,0.00,False
7/31/2021 5:00:00 PM,7/31/2021 1:00:00 PM,Wind,760.9,0.01,True
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Coal,23643.7,0.24,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Gas,36844.9,0.38,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Hydro,865.0,0.01,True
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Multiple Fuels,322.3,0.00,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Nuclear,31900.9,0.33,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Oil,222.3,0.00,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Other,133.9,0.00,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Other Renewables,679.7,0.01,True
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Solar,2476.6,0.03,True
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Storage,0.0,0.00,False
7/31/2021 4:00:00 PM,7/31/2021 12:00:00 PM,Wind,631.1,0.01,True
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Coal,23076.8,0.24,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Gas,34623.2,0.37,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Hydro,685.9,0.01,True
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Multiple Fuels,326.3,0.00,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Nuclear,31912.0,0.34,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Oil,225.2,0.00,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Other,89.4,0.00,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Other Renewables,678.0,0.01,True
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Solar,2412.7,0.03,True
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Storage,0.0,0.00,False
7/31/2021 3:00:00 PM,7/31/2021 11:00:00 AM,Wind,339.9,0.00,True
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Coal,22484.5,0.25,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Gas,32961.7,0.36,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Hydro,605.8,0.01,True
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Multiple Fuels,3.2,0.00,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Nuclear,31942.3,0.35,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Oil,226.3,0.00,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Other,75.5,0.00,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Other Renewables,671.6,0.01,True
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Solar,2392.4,0.03,True
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Storage,0.0,0.00,False
7/31/2021 2:00:00 PM,7/31/2021 10:00:00 AM,Wind,234.8,0.00,True
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Coal,22077.8,0.25,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Gas,30465.2,0.35,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Hydro,655.7,0.01,True
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Multiple Fuels,3.2,0.00,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Nuclear,31928.5,0.36,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Oil,228.3,0.00,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Other,91.7,0.00,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Other Renewables,683.5,0.01,True
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Solar,1896.3,0.02,True
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Storage,0.0,0.00,False
7/31/2021 1:00:00 PM,7/31/2021 9:00:00 AM,Wind,132.5,0.00,True
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Coal,21813.9,0.26,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Gas,27151.4,0.32,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Hydro,503.3,0.01,True
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Multiple Fuels,3.2,0.00,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Nuclear,31942.7,0.38,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Oil,227.8,0.00,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Other,61.8,0.00,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Other Renewables,664.7,0.01,True
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Solar,1136.7,0.01,True
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Storage,0.0,0.00,False
7/31/2021 12:00:00 PM,7/31/2021 8:00:00 AM,Wind,198.0,0.00,True
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Coal,21163.0,0.26,False
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Gas,25611.3,0.32,False
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Hydro,484.7,0.01,True
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Multiple Fuels,3.3,0.00,False
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Nuclear,31926.6,0.40,False
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Oil,227.1,0.00,False
7/31/2021 11:00:00 AM,7/31/2021 7:00:00 AM,Other,51.6,0.00,False
