datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Multiple Fuels,468.2,0.00,False
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Nuclear,33652.9,0.31,False
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Oil,450.7,0.00,False
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Other,63.3,0.00,False
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Other Renewables,690.9,0.00,True
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Solar,0.0,0.00,True
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Storage,0.0,0.00,False
1/31/2021 11:00:00 PM,1/31/2021 6:00:00 PM,Wind,6592.8,0.06,True
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Coal,25896.1,0.24,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Gas,35389.7,0.33,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Hydro,3586.0,0.03,True
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Multiple Fuels,469.9,0.00,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Nuclear,33656.3,0.32,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Oil,271.1,0.00,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Other,61.6,0.00,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Other Renewables,688.2,0.00,True
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Solar,4.1,0.00,True
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Storage,0.0,0.00,False
1/31/2021 10:00:00 PM,1/31/2021 5:00:00 PM,Wind,6534.3,0.06,True
1/31/2021 9:00:00 PM,1/31/2021 4:00:00 PM,Coal,25592.2,0.25,False
1/31/2021 9:00:00 PM,1/31/2021 4:00:00 PM,Gas,34263.0,0.33,False
